/OUT1 X,/OUT1 Y,/OUT2 X,/OUT2 Y,/OUT0 X,/OUT0 Y,/OUT2' X,/OUT2' Y,/OUT1' X,/OUT1' Y,/OUT0' X,/OUT0' Y,/I0/VQ X,/I0/VQ Y,/OUT3 X,/OUT3 Y
3.359999999999978e-06,1.711994514770902,3.359999999999978e-06,1.800275004948848,3.359999999999978e-06,0.5693461633303363,3.359999999999978e-06,0.001361490472706395,3.359999999999978e-06,0.9287081287597627,3.359999999999978e-06,1.219298087055411,3.359999999999978e-06,1.141768380623,3.359999999999978e-06,0.0004120454023680683
3.369999999999978e-06,1.726972914866023,3.369999999999978e-06,0.0003769675111263221,3.369999999999978e-06,0.5868101727662063,3.369999999999978e-06,1.798127504939201,3.369999999999978e-06,0.9581695355698957,3.369999999999978e-06,1.19797597644323,3.369999999999978e-06,1.141593502090466,3.369999999999978e-06,1.755966340661032
3.379999999999978e-06,1.715979878243085,3.379999999999978e-06,1.800038441851122,3.379999999999978e-06,0.5948527689717095,3.379999999999978e-06,0.0007495488268571449,3.379999999999978e-06,0.9014988152624068,3.379999999999978e-06,1.185738847324388,3.379999999999978e-06,1.14175438830315,3.379999999999978e-06,1.799419556198369
3.389999999999978e-06,1.731082197112145,3.389999999999978e-06,0.0005893969764122507,3.389999999999978e-06,0.6133531762847333,3.389999999999978e-06,1.797673945117009,3.389999999999978e-06,0.9234003457052562,3.389999999999978e-06,1.167542639191423,3.389999999999978e-06,1.141719750192182,3.389999999999978e-06,0.001793210408545431
3.399999999999978e-06,1.720109575838475,3.399999999999978e-06,1.800541855148674,3.399999999999978e-06,0.6316480565728084,3.399999999999978e-06,0.001197160968396765,3.399999999999978e-06,0.8695599737246122,3.399999999999978e-06,1.146418454490183,3.399999999999978e-06,1.141683656862823,3.399999999999978e-06,0.000371001789449517
3.409999999999978e-06,1.733928537849562,3.409999999999978e-06,0.0005813487934627487,3.409999999999978e-06,0.6497260235365148,3.409999999999978e-06,1.798340925357685,3.409999999999978e-06,0.8996485749591788,3.409999999999978e-06,1.123907499401486,3.409999999999978e-06,1.141509905675455,3.409999999999978e-06,1.760676386977597
3.419999999999977e-06,1.724318963895157,3.419999999999977e-06,1.800238023751076,3.419999999999977e-06,0.660700330495092,3.419999999999977e-06,0.0006554216856303327,3.419999999999977e-06,0.8364952557158469,3.419999999999977e-06,1.108225908001099,3.419999999999977e-06,1.141666850284385,3.419999999999977e-06,1.799414128070477
3.429999999999977e-06,1.738481596058406,3.429999999999977e-06,0.0008038839565990422,3.429999999999977e-06,0.681885422880262,3.429999999999977e-06,1.797943908071047,3.429999999999977e-06,0.8568127757825569,3.429999999999977e-06,1.086185072741282,3.429999999999977e-06,1.141629579525274,3.429999999999977e-06,0.001566257321259385
3.439999999999977e-06,1.728780242902245,3.439999999999977e-06,1.800729881645516,3.439999999999977e-06,0.7009510981336056,3.439999999999977e-06,0.001058648363104895,3.439999999999977e-06,0.7964936178745272,3.439999999999977e-06,1.063365438035071,3.439999999999977e-06,1.141590969998854,3.439999999999977e-06,0.0003389291014387353
3.449999999999977e-06,1.741127162780672,3.449999999999977e-06,0.0007755454703417588,3.449999999999977e-06,0.7203191310055082,3.449999999999977e-06,1.798545384908108,3.449999999999977e-06,0.8301014369252008,3.449999999999977e-06,1.038609723063427,3.449999999999977e-06,1.141414907702375,3.449999999999977e-06,1.765608342049924
